Platform,Category,Price_USD,Area_sqm,Link
DOM.RIA,3-кімнатні квартири,155000.0,150.2,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-shevchenkovskiy-zagorovskaya-baggovutovskaya-ulitsa-34259357.html
DOM.RIA,3-кімнатні квартири,127900.0,82.4,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-podolskiy-tiraspolskaya-ulitsa-33685941.html
DOM.RIA,3-кімнатні квартири,195000.0,100.1,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-otradnyy-garmatnaya-ulitsa-34142774.html
DOM.RIA,3-кімнатні квартири,130000.0,85.2,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-obolon-levka-lukyanenko-ulitsa-34193708.html
DOM.RIA,3-кімнатні квартири,330000.0,137.1,https://dom.ria.com/uk/realty-prodaja-kvartira-kiev-zverinets-mihaila-boychuka-ulitsa-32931068.html
OLX,3-кімнатні квартири,235000.0,100.0,https://www.olx.ua/d/uk/obyavlenie/vidova-4k-100m-z-dizaynerskim-remontom-zhk-great-osokorki-IDZwcUh.html?search_reason=search%7Cpromoted
OLX,3-кімнатні квартири,159000.0,80.0,https://www.olx.ua/d/uk/obyavlenie/mega-znizhka-prodam-stilnu-3-kmn-kv-ru-zhk-svitlo-park-pechersk-IDYtLeK.html?search_reason=search%7Cpromoted
OLX,3-кімнатні квартири,150000.0,75.5,https://www.olx.ua/d/uk/obyavlenie/bez-koms-dlya-pokuptsya-prodazh-3-k-kvartiri-v-golosvskomu-r-vul-feodosyska-derzhprogrami-sertifkati-ID10nBJx.html?search_reason=search%7Cpromoted
OLX,3-кімнатні квартири,123000.0,106.1,https://www.olx.ua/d/uk/obyavlenie/bez-prodazh-3k-kvartiri-vul-revutskogo-9-derzhmolod-oselya-vaucher-sertifkat-ID10lUKq.html?search_reason=search%7Corganic
OLX,3-кімнатні квартири,450000.0,118.0,https://www.olx.ua/d/uk/obyavlenie/prodazh-kvartiri-rozksh-na-dnpr-riviera-riverside-118m-eksklyuzivniy-remont-talysk-mebl-tiha-sektsya-dnprovskiy-rayon-bez-ID10mZEz.html?search_reason=search%7Corganic
DOM.RIA,Будинки,135000.0,109.0,https://dom.ria.com/uk/realty-prodaja-dom-kiev-bortnichi-evgeniya-harchenka-ulitsa-33821056.html
DOM.RIA,Будинки,410578.0,124.0,https://dom.ria.com/uk/realty-prodaja-dom-kiev-goloseevskiy-staroobuhovskaya-ulitsa-34004709.html
DOM.RIA,Будинки,169000.0,149.0,https://dom.ria.com/uk/realty-prodaja-dom-kiev-borschagovka-yakova-kachury-ulitsa-34226743.html
DOM.RIA,Будинки,460000.0,271.0,https://dom.ria.com/uk/realty-prodaja-dom-kiev-bortnichi-evgeniya-harchenka-ulitsa-34091369.html
DOM.RIA,Будинки,390000.0,349.0,https://dom.ria.com/uk/realty-prodaja-dom-kiev-sadovaya-ulitsa-33798638.html
OLX,Будинки,495000.0,240.0,https://www.olx.ua/d/uk/obyavlenie/prodazha-doma-darnitskiy-r-n-kiev-IDWHJXC.html?search_reason=search%7Cpromoted
OLX,Будинки,1350000.0,303.2,https://www.olx.ua/d/uk/obyavlenie/prodazha-doma-km-river-island-darnitskiy-r-n-IDYPeJA.html?search_reason=search%7Cpromoted
OLX,Будинки,125000.0,226.6,https://www.olx.ua/d/uk/obyavlenie/bez-prodazh-budinku-osokorki-nizhn-sadi-bla-dacha-sadove-tovaristo-orhdeya-3-kiv-ID10clfS.html?search_reason=search%7Cpromoted
OLX,Будинки,250000.0,140.0,https://www.olx.ua/d/uk/obyavlenie/prodazh-stilnogo-suchasnogo-budinku-140m2-osokorki-kiv-ID10rxgz.html?search_reason=search%7Corganic
OLX,Будинки,153000.0,167.0,https://www.olx.ua/d/uk/obyavlenie/bez-budinok-z-remontom-bortnich-darnitskiy-r-n-borisplska-ID10o5La.html?search_reason=search%7Corganic
DOM.RIA,Дуплекси,250000.0,300.0,https://dom.ria.com/uk/realty-prodaja-dupleks-kiev-svyatoshinskiy-mihaila-chalogo-ulitsa-34263035.html
DOM.RIA,Дуплекси,293270.0,140.0,https://dom.ria.com/uk/realty-prodaja-dupleks-kiev-nijnie-sady-zavalnaya-ulitsa-33616531.html
DOM.RIA,Дуплекси,135000.0,160.0,https://dom.ria.com/uk/realty-prodaja-dupleks-kiev-poznyaki-sadovaya-ulitsa-33667845.html
DOM.RIA,Дуплекси,105000.0,140.0,https://dom.ria.com/uk/realty-prodaja-dupleks-kiev-osokorki-15-ya-entuziastov-ulitsa-34249293.html
DOM.RIA,Дуплекси,170000.0,114.0,https://dom.ria.com/uk/realty-prodaja-dupleks-kiev-darnitskiy-svyatischenskaya-osokorki-ulitsa-34183648.html
